,S0,S1,S2,S3,S4,bottleneck
0,0.0,0.0,0.0,0.0,0.0,S0
1,1.0,1.0,1.0,1.0,1.0,S0
2,2.0,2.0,2.0,2.0,2.0,S0
3,3.0,3.0,3.0,3.0,3.0,S0
4,4.0,4.0,4.0,4.0,4.0,S0
5,5.0,5.0,5.0,5.0,5.0,S0
6,6.0,6.0,6.0,6.0,6.0,S0
7,7.0,7.0,7.0,7.0,7.0,S0
8,8.0,8.0,8.0,8.0,8.0,S0
9,9.0,9.0,9.0,9.0,9.0,S0
10,10.0,10.0,10.0,10.0,10.0,S0
11,11.0,11.0,11.0,11.0,11.0,S0
12,0.26699999999999946,12.0,12.0,12.0,12.0,S1
13,1.2669999999999995,13.0,13.0,13.0,13.0,S1
14,2.2669999999999995,14.0,14.0,14.0,14.0,S1
15,3.2669999999999995,0.5800000000000001,15.0,15.0,15.0,S2
16,4.2669999999999995,1.58,16.0,16.0,16.0,S2
17,5.2669999999999995,2.58,17.0,17.0,17.0,S2
18,6.2669999999999995,3.58,18.0,18.0,18.0,S2
19,7.2669999999999995,0.4029999999999987,19.0,19.0,19.0,S2
20,8.267,1.4029999999999987,20.0,20.0,20.0,S2
21,9.267,2.4029999999999987,0.6230000000000011,21.0,21.0,S3
22,10.267,3.4029999999999987,1.623000000000001,22.0,22.0,S3
23,11.267,4.402999999999999,2.623000000000001,23.0,23.0,S3
24,12.267,5.402999999999999,3.623000000000001,0.4280000000000008,24.0,S4
25,13.267,6.402999999999999,4.623000000000001,1.4280000000000008,25.0,S4
26,14.267,7.402999999999999,5.623000000000001,2.428000000000001,26.0,S4
27,15.267,0.7210000000000001,6.623000000000001,0.2789999999999999,27.0,S4
28,16.267,1.721,7.623000000000001,1.279,0.8019999999999996,S0
29,17.267,2.721,8.623000000000001,2.279,1.8019999999999996,S0
30,18.267,3.721,9.623000000000001,3.279,2.8019999999999996,S0
31,19.267,4.721,10.623000000000001,4.279,3.8019999999999996,S0
32,20.267,5.721,11.623000000000001,5.279,4.802,S0
33,21.267,6.721,12.623000000000001,0.0730000000000004,5.802,S0
34,22.267,7.721,13.623000000000001,1.0730000000000004,6.802,S0
35,23.267,8.721,14.623000000000001,2.0730000000000004,7.802,S0
36,24.267,9.721,15.623000000000001,3.0730000000000004,8.802,S0
37,25.267,10.721,16.623,4.073,0.7560000000000002,S0
38,26.267,11.721,17.623,5.073,1.7560000000000002,S0
39,27.267,12.721,18.623,6.073,2.7560000000000002,S0
40,28.267,13.721,0.0030000000000001137,7.073,3.7560000000000002,S0
41,29.267,14.721,1.0030000000000001,8.073,4.756,S0
42,30.267,15.721,2.003,9.073,5.756,S0
43,31.267,16.721,3.003,10.073,6.756,S0
44,32.266999999999996,17.721,4.003,11.073,7.756,S0
45,33.266999999999996,18.721,0.3639999999999972,12.073,8.756,S0
46,34.266999999999996,19.721,1.3639999999999972,13.073,9.756,S0
47,35.266999999999996,20.721,2.363999999999997,14.073,10.756,S0
48,36.266999999999996,21.721,3.363999999999997,15.073,0.30100000000000193,S0
49,37.266999999999996,22.721,4.363999999999997,16.073,1.301000000000002,S0
50,38.266999999999996,23.721,5.363999999999997,17.073,2.301000000000002,S0
