t,B0,B1,B2,B3,B4,B5
1,99,0,0,0,0,0
2,100,0,0,0,0,0
3,100,0,0,0,0,0
4,100,0,0,0,0,0
5,100,0,0,0,0,0
6,100,0,0,0,0,0
7,100,0,0,0,0,0
8,100,0,0,0,0,0
9,100,0,0,0,0,0
10,100,0,0,0,0,0
11,100,0,0,0,0,0
12,99,0,0,0,0,0
13,100,0,0,0,0,0
14,100,0,0,0,0,0
15,99,0,0,0,0,0
16,100,0,0,0,0,0
17,100,0,0,0,0,0
18,100,0,1,0,0,0
19,99,0,1,0,0,0
20,100,0,1,0,0,0
21,99,0,1,0,0,0
22,100,0,1,0,0,0
23,100,0,0,1,0,0
24,100,0,0,0,0,0
25,100,0,1,0,0,0
26,100,0,1,0,0,0
27,99,0,0,0,1,0
28,100,0,0,0,0,1
29,100,0,0,0,0,1
30,99,0,1,0,0,1
31,100,0,1,0,1,1
32,99,1,1,0,0,2
33,100,1,0,0,0,2
34,100,0,1,0,0,2
35,100,0,1,0,0,3
36,99,1,0,1,0,3
37,100,1,0,0,0,3
38,100,1,0,0,0,3
39,100,1,0,1,0,3
40,99,1,0,1,0,3
41,100,1,0,0,1,3
42,99,2,0,0,1,3
43,100,2,0,0,1,3
44,100,2,0,1,0,4
45,99,2,0,1,0,4
46,100,2,0,1,0,5
47,100,2,0,1,0,5
48,99,3,0,0,0,5
49,100,3,0,1,0,5
50,100,3,0,1,0,5
51,100,3,0,1,0,6
52,100,3,0,0,0,6
53,99,3,0,0,0,6
54,100,3,0,0,0,6
55,100,3,0,0,0,7
56,100,2,1,0,0,7
57,100,2,0,1,0,7
58,99,3,0,1,0,7
59,100,2,1,0,0,7
60,100,2,1,0,0,7
61,100,2,1,0,0,8
62,99,2,1,1,0,8
63,100,2,1,0,0,8
64,99,3,1,0,0,8
65,100,3,1,0,0,9
66,100,2,2,0,0,9
67,99,3,2,0,0,9
68,100,3,1,0,0,10
69,100,3,1,0,0,10
70,100,3,1,0,0,10
71,100,2,2,0,0,10
72,100,2,2,0,0,10
73,100,2,2,0,0,10
74,100,1,2,1,0,10
75,100,1,2,0,0,10
76,100,1,1,1,0,10
77,100,1,1,0,1,10
78,100,1,1,0,0,11
79,99,2,1,0,0,11
80,100,2,0,1,0,11
81,100,1,1,0,1,11
82,100,1,1,0,0,12
83,100,0,1,1,0,12
84,100,0,1,1,0,12
85,100,0,0,2,0,12
86,99,1,0,2,0,12
87,100,1,0,3,0,13
88,99,2,0,3,0,13
89,100,1,0,3,0,13
90,100,1,0,2,0,13
91,100,0,0,3,0,13
92,100,0,0,3,0,14
93,99,1,0,3,0,14
94,100,1,0,3,0,14
95,99,1,0,2,0,15
96,100,1,0,2,0,15
97,100,1,0,2,0,15
98,99,2,0,1,0,16
99,100,2,0,2,0,16
100,100,2,0,2,0,16
101,100,1,0,1,0,17
102,100,1,0,1,0,17
103,100,1,0,1,0,17
104,100,0,1,1,0,17
105,100,0,1,0,0,18
106,99,0,1,1,0,18
107,100,0,1,0,1,18
108,100,0,1,0,0,19
109,100,0,0,1,0,19
110,100,0,1,1,0,19
111,100,0,1,1,0,19
112,99,0,1,1,0,20
113,100,0,1,1,0,20
114,100,0,1,1,0,20
115,99,0,2,1,0,20
116,100,0,2,0,0,20
117,100,0,1,1,0,20
118,100,0,2,1,0,20
119,100,0,2,1,0,20
120,100,0,2,0,0,21
121,100,0,2,0,0,21
122,99,0,1,1,0,21
123,100,0,1,1,0,22
124,99,1,0,2,0,22
125,100,1,0,2,0,22
126,100,0,1,2,0,22
127,100,0,0,3,0,22
128,99,0,1,3,0,22
129,100,0,1,3,0,22
130,99,1,1,3,0,22
131,100,0,2,3,0,22
132,100,0,2,2,0,22
133,100,0,2,2,0,22
134,99,1,2,2,0,22
135,100,0,2,3,0,23
136,99,1,2,3,0,23
137,100,1,2,3,0,23
138,100,0,2,3,0,23
139,100,0,2,3,0,23
140,100,0,2,2,1,23
141,100,0,2,2,0,24
142,99,1,2,1,1,24
143,100,1,2,1,1,24
144,100,0,3,1,0,25
145,99,1,3,1,0,25
146,100,0,3,2,0,25
147,100,0,3,2,0,25
148,99,1,3,2,0,26
149,100,1,3,1,0,26
150,100,1,3,1,0,26
151,100,1,2,2,0,26
152,99,2,2,1,0,27
153,100,1,3,1,0,27
154,100,1,2,2,0,27
155,99,2,2,2,0,27
156,100,2,1,3,0,28
157,100,1,2,3,0,28
158,100,1,2,2,0,28
159,99,1,3,2,0,28
160,100,1,2,3,0,28
161,100,1,2,3,0,28
162,100,0,3,3,0,28
163,100,0,3,3,0,29
164,100,0,3,2,0,29
165,99,1,3,2,0,29
166,100,1,2,3,0,30
167,100,0,3,3,0,30
168,100,0,2,3,0,30
169,100,0,2,3,0,30
170,100,0,2,3,0,31
171,99,1,1,4,0,31
172,100,1,1,4,0,31
173,99,2,0,5,0,31
174,100,2,0,5,0,31
175,100,2,0,5,0,31
176,100,2,0,5,0,31
177,100,2,0,4,0,31
178,100,2,0,4,0,31
179,100,2,0,3,1,31
180,100,1,1,3,1,31
181,100,1,1,3,1,31
182,100,1,1,3,1,31
183,100,1,1,3,1,31
184,99,1,2,2,2,31
185,100,1,2,2,1,32
186,100,1,1,3,1,32
187,99,2,1,3,1,32
188,100,2,1,3,1,32
189,100,2,0,4,0,33
190,100,1,1,4,0,33
191,99,2,1,4,0,34
192,100,2,0,4,0,34
193,99,3,0,4,0,34
194,100,3,0,4,0,34
195,100,3,0,3,1,34
196,100,2,0,4,1,34
