t,num_station,num_job,event_type
0,0,1,job start
11.733,0,1,job finish
11.733,1,1,job start
11.733,0,2,job start
14.367,1,1,job finish
14.367,2,1,job start
14.42,0,2,job finish
14.42,1,2,job start
14.42,0,3,job start
17.411,1,2,job finish
18.597,0,3,job finish
18.597,1,3,job start
18.597,0,4,job start
20.377,2,1,job finish
20.377,3,1,job start
20.377,2,2,job start
20.732,0,4,job finish
20.732,0,5,job start
20.902,1,3,job finish
20.902,1,4,job start
22.591,2,2,job finish
22.591,2,3,job start
23.572,3,1,job finish
23.572,4,1,job start
23.572,3,2,job start
24.592,1,4,job finish
26.279,0,5,job finish
26.279,1,5,job start
26.279,0,6,job start
26.526,3,2,job finish
26.721,2,3,job finish
26.721,3,3,job start
26.721,2,4,job start
27.198,4,1,job finish
27.198,4,2,job start
29.074,0,6,job finish
29.074,0,7,job start
29.538,1,5,job finish
29.538,1,6,job start
30.383,3,3,job finish
31.596,4,2,job finish
31.596,4,3,job start
31.909,0,7,job finish
31.909,0,8,job start
32.927,2,4,job finish
32.927,3,4,job start
32.927,2,5,job start
33.333,1,6,job finish
33.333,1,7,job start
34.945,4,3,job finish
35.136,2,5,job finish
35.136,2,6,job start
35.91,0,8,job finish
35.91,0,9,job start
36.244,3,4,job finish
36.244,4,4,job start
36.244,3,5,job start
38.341,2,6,job finish
39.538,0,9,job finish
39.538,0,10,job start
39.997,1,7,job finish
39.997,2,7,job start
39.997,1,8,job start
40.628,3,5,job finish
40.628,3,6,job start
41.729,0,10,job finish
41.729,0,11,job start
43.213,2,7,job finish
43.313,4,4,job finish
43.313,4,5,job start
44.365,0,11,job finish
44.365,0,12,job start
44.636,1,8,job finish
44.636,2,8,job start
44.636,1,9,job start
45.925,4,5,job finish
47.652,0,12,job finish
47.652,0,13,job start
47.699,3,6,job finish
47.699,4,6,job start
47.699,3,7,job start
48.603,2,8,job finish
50.749,4,6,job finish
51.497,3,7,job finish
51.497,4,7,job start
51.497,3,8,job start
52.616,1,9,job finish
52.616,2,9,job start
52.616,1,10,job start
52.906,0,13,job finish
52.906,0,14,job start
54.434,4,7,job finish
55.746,1,10,job finish
55.746,1,11,job start
56.286,2,9,job finish
56.286,2,10,job start
57.838,0,14,job finish
57.838,0,15,job start
58.153,3,8,job finish
58.153,4,8,job start
58.153,3,9,job start
58.398,1,11,job finish
58.398,1,12,job start
60.856,4,8,job finish
61.413,0,15,job finish
61.413,0,16,job start
61.603,1,12,job finish
61.603,1,13,job start
61.826,2,10,job finish
61.826,2,11,job start
62.036,3,9,job finish
62.036,4,9,job start
62.036,3,10,job start
63.891,0,16,job finish
63.891,0,17,job start
64.509,4,9,job finish
65.34,1,13,job finish
65.34,1,14,job start
65.749,3,10,job finish
65.749,4,10,job start
66.862,0,17,job finish
66.862,0,18,job start
67.622,2,11,job finish
67.622,3,11,job start
67.622,2,12,job start
67.764,4,10,job finish
70.089,1,14,job finish
70.089,1,15,job start
73.57,1,15,job finish
73.57,1,16,job start
73.584,2,12,job finish
73.584,2,13,job start
74.475,3,11,job finish
74.475,4,11,job start
74.475,3,12,job start
75.675,2,13,job finish
75.675,2,14,job start
76.984,3,12,job finish
76.984,3,13,job start
77.836,4,11,job finish
77.836,4,12,job start
78.034,0,18,job finish
78.034,0,19,job start
79.238,2,14,job finish
79.238,2,15,job start
80.082,3,13,job finish
80.082,3,14,job start
80.153,1,16,job finish
80.153,1,17,job start
81.461,4,12,job finish
81.461,4,13,job start
82.257,2,15,job finish
82.257,2,16,job start
82.89,1,17,job finish
82.89,1,18,job start
84.782,2,16,job finish
84.782,2,17,job start
85.643,0,19,job finish
85.643,0,20,job start
86.669,4,13,job finish
86.785,2,17,job finish
87.692,0,20,job finish
87.692,0,21,job start
88.175,1,18,job finish
88.175,2,18,job start
88.175,1,19,job start
89.559,3,14,job finish
89.559,4,14,job start
89.559,3,15,job start
90.673,1,19,job finish
90.673,1,20,job start
90.703,2,18,job finish
90.703,2,19,job start
91.991,4,14,job finish
92.304,3,15,job finish
92.304,4,15,job start
92.304,3,16,job start
92.478,0,21,job finish
92.478,0,22,job start
92.947,2,19,job finish
94.095,1,20,job finish
94.095,2,20,job start
94.095,1,21,job start
94.639,0,22,job finish
94.639,0,23,job start
94.715,4,15,job finish
94.906,3,16,job finish
94.906,4,16,job start
94.906,3,17,job start
97.427,0,23,job finish
97.427,0,24,job start
97.683,3,17,job finish
97.683,3,18,job start
97.893,4,16,job finish
97.893,4,17,job start
98.536,2,20,job finish
100.38,4,17,job finish
100.749,3,18,job finish
100.749,4,18,job start
100.749,3,19,job start
100.821,1,21,job finish
100.821,2,21,job start
100.821,1,22,job start
103.174,1,22,job finish
103.174,1,23,job start
104.401,3,19,job finish
104.401,3,20,job start
104.714,4,18,job finish
104.714,4,19,job start
105.438,0,24,job finish
105.438,0,25,job start
105.487,1,23,job finish
105.487,1,24,job start
105.885,2,21,job finish
105.885,2,22,job start
106.804,3,20,job finish
106.804,3,21,job start
107.859,4,19,job finish
107.859,4,20,job start
108.31,2,22,job finish
108.31,2,23,job start
109.111,1,24,job finish
111.157,4,20,job finish
111.899,0,25,job finish
111.899,1,25,job start
111.899,0,26,job start
114.076,0,26,job finish
114.076,0,27,job start
114.273,1,25,job finish
114.273,1,26,job start
115.572,3,21,job finish
115.572,4,21,job start
115.572,3,22,job start
116.437,2,23,job finish
116.437,2,24,job start
117.92,1,26,job finish
119.785,3,22,job finish
119.785,3,23,job start
119.999,4,21,job finish
119.999,4,22,job start
121.13,0,27,job finish
121.13,1,27,job start
121.13,0,28,job start
121.166,2,24,job finish
121.166,2,25,job start
122.414,4,22,job finish
123.478,0,28,job finish
123.478,0,29,job start
123.667,2,25,job finish
123.667,2,26,job start
125.371,1,27,job finish
125.371,1,28,job start
126.012,2,26,job finish
126.012,2,27,job start
127.202,0,29,job finish
127.202,0,30,job start
127.661,1,28,job finish
127.661,1,29,job start
129.587,0,30,job finish
129.587,0,31,job start
130.566,1,29,job finish
130.566,1,30,job start
131.448,3,23,job finish
131.448,4,23,job start
131.448,3,24,job start
133.136,0,31,job finish
133.136,0,32,job start
134.529,4,23,job finish
134.593,2,27,job finish
134.593,2,28,job start
134.91,1,30,job finish
134.91,1,31,job start
135.85,0,32,job finish
135.85,0,33,job start
137.099,3,24,job finish
137.099,4,24,job start
137.099,3,25,job start
137.457,2,28,job finish
137.457,2,29,job start
137.59,1,31,job finish
137.59,1,32,job start
139.657,3,25,job finish
139.657,3,26,job start
140.08,4,24,job finish
140.08,4,25,job start
141.02,0,33,job finish
141.02,0,34,job start
142.0,3,26,job finish
142.0,3,27,job start
143.495,1,32,job finish
143.495,1,33,job start
143.678,4,25,job finish
143.678,4,26,job start
144.358,0,34,job finish
144.358,0,35,job start
145.826,1,33,job finish
145.826,1,34,job start
145.923,2,29,job finish
145.923,2,30,job start
147.037,4,26,job finish
147.573,0,35,job finish
147.573,0,36,job start
148.685,3,27,job finish
148.685,4,27,job start
148.685,3,28,job start
150.967,2,30,job finish
150.967,2,31,job start
151.205,0,36,job finish
151.205,0,37,job start
151.741,4,27,job finish
151.861,3,28,job finish
151.861,4,28,job start
151.861,3,29,job start
152.901,1,34,job finish
152.901,1,35,job start
153.095,2,31,job finish
153.095,2,32,job start
154.452,0,37,job finish
154.452,0,38,job start
155.419,2,32,job finish
155.419,2,33,job start
155.692,4,28,job finish
156.331,1,35,job finish
156.331,1,36,job start
157.177,3,29,job finish
157.177,4,29,job start
157.177,3,30,job start
158.202,0,38,job finish
158.202,0,39,job start
158.876,1,36,job finish
158.876,1,37,job start
159.562,2,33,job finish
159.562,2,34,job start
161.524,1,37,job finish
161.524,1,38,job start
162.099,4,29,job finish
163.042,3,30,job finish
163.042,4,30,job start
163.042,3,31,job start
164.514,0,39,job finish
164.514,0,40,job start
165.335,2,34,job finish
165.335,2,35,job start
165.488,4,30,job finish
166.336,1,38,job finish
166.336,1,39,job start
167.044,3,31,job finish
167.044,4,31,job start
167.044,3,32,job start
167.611,2,35,job finish
167.611,2,36,job start
169.606,4,31,job finish
170.244,2,36,job finish
170.244,2,37,job start
170.517,0,40,job finish
170.517,0,41,job start
172.343,2,37,job finish
172.343,2,38,job start
172.912,0,41,job finish
172.912,0,42,job start
176.257,3,32,job finish
176.257,4,32,job start
176.257,3,33,job start
178.959,3,33,job finish
178.959,3,34,job start
179.302,1,39,job finish
179.302,1,40,job start
183.157,0,42,job finish
